1,-336.908417,72.043137,410.690186,-287.187225,149.016663,257.686981,-326.935333,122.23761,152.57991,-368.167664,-28.182396,808.255798,-354.019073,-26.680349,740.007385,-356.883728,-15.858021,673.193298
2,-336.898956,72.043579,410.713257,-287.212708,149.031433,257.671967,-326.934814,122.277039,152.582489,-368.177979,-28.185219,808.269836,-354.007813,-26.67137,740.044189,-356.888275,-15.852013,673.192505
3,-336.897369,72.035248,410.714691,-287.190613,149.030579,257.6492,-326.923553,122.243942,152.572632,-368.18808,-28.157881,808.26239,-354.033264,-26.678013,740.02655,-356.895264,-15.850978,673.190735
4,-336.908905,72.042946,410.705688,-287.188751,149.046051,257.672028,-326.917725,122.257103,152.576447,-368.166382,-28.170454,808.273987,-354.002777,-26.672653,740.029785,-356.893982,-15.855207,673.194275
5,-336.906555,72.02343,410.729126,-287.209198,149.044632,257.659088,-326.927704,122.24794,152.56813,-368.164856,-28.174856,808.26123,-354.006287,-26.677364,740.017456,-356.899994,-15.846669,673.176697
6,-336.878479,72.026001,410.702881,-287.235077,149.061386,257.642242,-326.902405,122.238258,152.569122,-368.151459,-28.166039,808.265625,-354.020966,-26.675812,740.01178,-356.906982,-15.847733,673.175171
7,-336.902344,72.023819,410.704742,-287.205933,149.066254,257.633209,-326.918579,122.287018,152.555252,-368.15683,-28.164917,808.272644,-354.003815,-26.662539,740.012573,-356.872925,-15.830023,673.189697
8,-336.881256,72.039314,410.705536,-287.199768,149.054474,257.646545,-326.929962,122.256363,152.571381,-368.153046,-28.162096,808.283386,-354.004547,-26.66153,740.023804,-356.874542,-15.857981,673.197083
9,-336.872711,72.044762,410.717194,-287.217773,149.042068,257.67514,-326.909485,122.280151,152.572113,-368.1539,-28.16958,808.293762,-353.989075,-26.680008,740.032288,-356.906891,-15.84506,673.18927
10,-336.891479,72.030067,410.705353,-287.217163,149.068054,257.636414,-326.903046,122.256386,152.582733,-368.162872,-28.172661,808.263428,-354.02832,-26.676085,740.017761,-356.897369,-15.828937,673.19458
11,-336.915283,72.041359,410.700653,-287.20108,149.043121,257.634094,-326.92868,122.280617,152.551758,-368.181122,-28.166233,808.267517,-354.049438,-26.671021,740.020081,-356.912689,-15.840948,673.183533
